Reference Number,Grid Ref: Easting,Grid Ref: Northing,Number of Vehicles,Accident Date,Time (24hr),1st Road Class & No,Road Surface,Lighting Conditions,Weather Conditions,Type of Vehicle,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty
4C11192,409233,425322,2,01/12/2017,1700,U,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,44
4C40339,404481,422440,2,04/12/2017,0850,A58,Wet/Damp,Daylight:street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Serious,Male,12
4C40671,411156,419448,2,01/12/2017,1745,M62,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,60
4C50654,393806,424166,2,05/12/2017,1120,A646,Dry,Daylight:street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Driver or rider,Slight,Male,18
4C60859,412961,429051,3,06/12/2017,1357,U,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Serious,Male,88
4C70337,412961,429050,2,07/12/2017,0829,U,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,35
4C80344,406899,426365,2,08/12/2017,0815,U,Snow,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,67
4C91217,408682,425514,2,09/12/2017,1521,U,Wet/Damp,Daylight:street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,50
4CC0257,407231,425171,1,12/12/2017,0820,U,Wet/Damp,Daylight:street lights present,Fine without high winds,Taxi/Private hire car,Pedestrian,Slight,Male,15
4CC0638,414676,422044,2,12/12/2017,1200,A641,Wet/Damp,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,83
4CE0185,414536,423747,1,14/12/2017,0521,U,Frost/Ice,Darkness: street lights present and lit,Other,Car,Driver or rider,Slight,Female,46
4CE1079,411703,419931,2,13/12/2017,1325,A629,Wet/Damp,Daylight:street lights present,Fine without high winds,Taxi/Private hire car,Driver or rider,Slight,Male,36
4CE1247,400946,426113,1,14/12/2017,1617,U,Dry,Daylight:street lights present,Fine without high winds,Car,Pedestrian,Slight,Male,14
4CF0983,416379,422121,2,15/12/2017,1446,M62,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,58
4CG0833,398736,414661,2,16/12/2017,1302,M62,Frost/Ice,Daylight:street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Serious,Male,23
4CI0753,403445,416829,1,18/12/2017,1410,A672,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,67
4CJ1131,407971,425164,1,19/12/2017,1530,U,Dry,Daylight:street lights present,Fine without high winds,Car,Pedestrian,Slight,Female,15
4CL1529,412020,428062,1,21/12/2017,1815,A6036,Wet/Damp,Darkness: street lights present and lit,Raining without high winds,Bus or coach (17 or more passenger seats),Pedestrian,Fatal,Male,49
4CM0347,407646,429913,2,22/12/2017,0818,U,Wet/Damp,Daylight:street lights present,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,38
4CO1445,408619,422610,2,24/12/2017,1930,A6026,Wet/Damp,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Serious,Male,72
4CQ0580,407308,424393,2,26/12/2017,1217,A646,Dry,Daylight:street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,74
4CR1477,409656,424989,2,27/12/2017,1859,U,Wet/Damp,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Female,88
4CR1653,407405,424815,3,27/12/2017,2053,U,Wet/Damp,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Serious,Female,31
4CS0470,409156,425932,1,28/12/2017,1132,U,Dry,Daylight:street lights present,Fine without high winds,Car,Pedestrian,Slight,Male,9
4CS1484,411143,425966,3,28/12/2017,2020,A58,Frost/Ice,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Serious,Male,24
4CV0744,408918,425012,2,31/12/2017,1331,U,Dry,Daylight:street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,28
